stay_date,occ,adr,revpar
10/17/18,1.019638243,407.4995906,415.5021665
10/18/18,0.972583979,365.8430976,355.8131357
10/19/18,0.994470284,324.0703529,322.278336
10/20/18,0.947855297,305.6040606,289.6684276
10/21/18,0.854883721,296.7768378,253.7096874
10/22/18,0.979638243,345.5474399,338.5114869
10/23/18,0.930930233,388.841786,361.9845743
10/24/18,0.968062016,395.1900288,382.5684558
10/25/18,0.995710594,363.4382456,361.8793116
10/26/18,0.998527132,308.3310825,307.8769515
10/27/18,0.947364341,307.0353349,290.8743278
10/28/18,0.885503876,294.2735447,260.5803644
10/29/18,0.921421189,311.7754985,287.2765504
10/30/18,0.813152455,312.6504416,254.232474
10/31/18,0.854935401,298.7986847,255.4535732
11/1/18,0.952196382,326.4071172,310.8036762
11/2/18,0.929354005,310.8119448,288.8543258
11/3/18,1.004857881,338.2643661,339.9076142
11/4/18,0.863824289,317.208081,274.0120451
11/5/18,0.944832041,324.3398125,306.4466471
11/6/18,0.989612403,364.3757304,360.5907422
11/7/18,0.973927649,372.1076192,362.4058986
11/8/18,0.971369509,328.6489068,319.2395273
11/9/18,0.964366925,300.6722543,289.9583773
11/10/18,0.976873385,300.0605412,293.1211566
11/11/18,0.839664083,277.4689477,232.9807095
11/12/18,0.885529716,326.2297596,288.8861463
11/13/18,0.946175711,392.4338557,371.3113822
11/14/18,0.968992248,386.7370154,374.74517
11/15/18,0.96372093,340.1589022,327.8182536
11/16/18,0.872118863,287.6587563,250.8726275
11/17/18,0.950103359,278.8137959,264.9019241
11/18/18,0.854496124,233.5374582,199.5568529
11/19/18,0.873565891,233.0768364,203.6079744
11/20/18,0.772351421,249.9489291,193.0484106
11/21/18,0.942945736,301.1139364,283.9341025
11/22/18,0.963410853,302.7901319,291.7112992
11/23/18,0.952377261,306.9476593,292.3299711
11/24/18,0.934496124,273.873964,255.9341578
11/25/18,0.729870801,256.3666293,187.114517
11/26/18,0.780155039,301.549754,235.25556
11/27/18,0.964418605,351.7456242,339.2300241
11/28/18,0.923514212,372.3572615,343.8772229
11/29/18,0.991395349,367.2327921,364.0728821
11/30/18,1.007596899,344.3570863,346.9731324
12/1/18,1.015116279,359.4647317,364.8985009
12/2/18,0.82870801,342.5875485,283.9050457
12/3/18,0.939147287,428.62308,402.5402027
12/4/18,0.96126615,468.5070598,450.3599776
12/5/18,0.953307494,484.3895039,461.7721439
12/6/18,0.938062016,416.6451108,390.8389524
12/7/18,0.946537468,390.5444443,369.6649493
12/8/18,0.96126615,387.9352361,372.9090108
12/9/18,0.817183463,310.9538835,254.1063712
12/10/18,0.880904393,348.7392289,307.2059187
12/11/18,0.981162791,391.4521281,384.0782625
12/12/18,0.990310078,397.0031373,393.1562077
12/13/18,0.925219638,351.1067198,324.8508323
12/14/18,0.997312661,317.0344359,316.1824571
12/15/18,0.953850129,327.7396995,312.6145547
12/16/18,0.848552972,240.7136607,204.2582921
12/17/18,0.937829457,251.2195746,235.6011174
12/18/18,0.852093023,252.36792,215.0409439
12/19/18,0.893514212,243.7328113,217.7787308
12/20/18,0.838165375,242.8738007,203.5684102
12/21/18,0.89873385,242.838974,218.247606
12/22/18,1.010930233,260.9168677,263.7687498
12/23/18,0.93997416,237.4839919,223.2288158
12/24/18,0.847157623,239.9902239,203.3095476
12/25/18,0.864160207,242.6409685,209.6806695
12/26/18,0.927700258,276.033016,256.0759003
12/27/18,0.927958656,299.6081411,278.0239681
12/28/18,0.989250646,325.7739917,322.2721317
12/29/18,0.985400517,335.4173983,330.5204776
12/30/18,0.960775194,329.596986,316.6686081
12/31/18,0.959689922,408.9618997,392.4766138
1/1/19,0.765374677,261.7430231,200.3314818
1/2/19,0.727105943,209.6518822,152.4391296
1/3/19,0.7174677,205.5756513,147.4938898
1/4/19,0.81620155,187.0038416,152.6328254
1/5/19,0.72994832,176.712956,128.9913254
1/6/19,0.639509044,181.511522,116.0782599
1/7/19,0.702015504,179.632241,126.1046182
1/8/19,0.796149871,205.5217776,163.6261367
1/9/19,0.79630491,209.8778577,167.1267685
1/10/19,0.752609819,197.5483486,148.6768269
1/11/19,0.664160207,177.7448303,118.0510433
1/12/19,0.796666667,200.8943573,160.045838
1/13/19,0.789844961,225.5703967,178.1656413
1/14/19,0.971369509,256.41064,249.0694775
1/15/19,0.89749354,260.6438938,233.926211
1/16/19,0.840206718,225.6186409,189.5662979
1/17/19,0.774935401,186.4147758,144.459409
1/18/19,0.764237726,171.9869452,131.4389119
1/19/19,0.8874677,186.9359517,165.8996192
1/20/19,0.690103359,169.4366553,116.928805
1/21/19,0.585736434,174.1689523,102.0171011
1/22/19,0.736589147,207.0589474,152.5173735
1/23/19,0.790749354,205.8715599,162.792803
1/24/19,0.778501292,181.0279028,140.9304562
1/25/19,0.745865633,176.4466153,131.6054665
1/26/19,0.744496124,178.3976028,132.8163238
1/27/19,0.57873385,178.4085931,103.251092
1/28/19,0.749018088,204.0150344,152.810951
1/29/19,0.84118863,224.5085943,188.854077
1/30/19,0.856640827,220.106567,188.5522715
1/31/19,0.699328165,198.1616551,138.5800267
2/1/19,0.710490956,176.3533778,125.29748
2/2/19,0.717622739,168.9912305,121.2719497
2/3/19,0.584857881,170.0582721,99.4599207
2/4/19,0.815839793,209.4560749,170.8826008
2/5/19,0.878423773,233.7353067,205.3186499
2/6/19,0.863617571,226.8657149,195.9252177
2/7/19,0.775090439,190.2744371,147.4798971
2/8/19,0.796692506,192.3721134,153.2614212
2/9/19,0.79250646,192.4464983,152.5150931
2/10/19,0.710930233,177.4300186,126.1403644
2/11/19,0.852945736,204.595279,174.5086709
2/12/19,0.81881137,224.591273,183.8978879
2/13/19,0.759431525,206.334404,156.696851
2/14/19,0.819302326,202.4764079,165.8893919
2/15/19,0.91620155,196.8847411,180.3861051
2/16/19,0.970878553,214.0397752,207.8066272
2/17/19,0.905142119,204.4155592,185.0251324
2/18/19,0.780981912,203.698008,159.0844598
2/19/19,0.865271318,210.1418164,181.8296864
2/20/19,0.83369509,213.7334353,178.1885157
2/21/19,0.829354005,181.5211584,150.5452997
2/22/19,0.818320413,170.2130139,139.2887839
2/23/19,0.852118863,179.360701,152.8366366
2/24/19,0.596640827,179.7096611,107.2221208
2/25/19,0.765193798,200.3577041,153.3124726
2/26/19,0.860387597,233.8588766,201.2092769
2/27/19,0.844625323,223.6705679,188.9178257
2/28/19,0.888113695,211.022216,187.41172
3/1/19,0.84369509,185.9764076,156.9073821
3/2/19,0.872041344,201.3953283,175.6250527
3/3/19,0.78875969,201.8893868,159.2422102
3/4/19,0.818113695,224.3180537,183.5176718
3/5/19,0.946046512,260.7217802,246.6549306
3/6/19,0.939741602,266.1776441,250.1382057
3/7/19,0.830594315,227.2005826,188.7115123
3/8/19,0.862919897,221.0973413,190.7892949
3/9/19,0.917028424,213.6862094,195.9563278
3/10/19,0.745271318,212.0464278,158.0321207
3/11/19,0.894289406,261.9060415,234.2197982
3/12/19,0.955839793,274.8073136,262.6717658
3/13/19,0.905400517,282.8408276,256.0842315
3/14/19,0.870180879,247.7374718,215.5764108
3/15/19,0.930258398,233.7351841,217.4341179
3/16/19,0.9674677,239.8062668,232.0048175
3/17/19,0.77881137,227.0917373,176.8616269
3/18/19,0.901576227,279.6401876,252.1169454
3/19/19,0.966692506,303.2086351,293.1095154
3/20/19,0.932067183,309.6920556,288.653802
3/21/19,0.961886305,277.5559381,266.9772557
3/22/19,0.923281654,240.6674397,222.2038317
3/23/19,0.891059432,239.9284691,213.7905253
3/24/19,0.755607235,211.8387565,160.0668971
3/25/19,0.810775194,247.0103227,200.2698423
3/26/19,0.893565891,272.4320017,243.4359445
3/27/19,0.873617571,265.8899076,232.2860952
3/28/19,0.916098191,234.3809601,214.7159736
3/29/19,0.858268734,226.6898841,194.5608398
3/30/19,0.903669251,227.6526999,205.7227448
3/31/19,0.660697674,234.4054912,154.8711629
4/1/19,0.806072351,275.6344368,222.1812986
4/2/19,0.972118863,306.1897672,297.6528484
4/3/19,0.942377261,314.2267564,296.12015
4/4/19,0.96496124,285.5348691,275.5300815
4/5/19,0.965943152,247.3214112,238.8984236
4/6/19,0.947235142,254.3596683,240.9384166
4/7/19,0.823049096,235.7133501,194.0036597
4/8/19,0.926020672,275.7295238,255.3312389
4/9/19,0.927596899,302.1126853,280.2387901
4/10/19,0.89751938,303.557296,272.448556
4/11/19,0.891111111,273.1942124,243.4463982
4/12/19,0.931498708,256.5802715,239.0041914
4/13/19,1.001627907,266.3917022,266.8253631
4/14/19,0.856744186,269.8391149,231.1830928
4/15/19,0.980594315,305.1549007,299.2331609
4/16/19,0.969018088,336.815157,326.3799794
4/17/19,0.935762274,340.6301762,318.7488683
4/18/19,0.950284238,286.1134943,271.8891439
4/19/19,0.942945736,279.8089604,263.8446662
4/20/19,0.953617571,275.5442223,262.763812
4/21/19,0.746124031,253.6836974,189.2795029
4/22/19,0.816511628,273.861302,223.6109375
4/23/19,0.929586563,322.2887989,299.5953369
4/24/19,0.945994832,321.3631617,304.0078902
4/25/19,0.953229974,294.9512674,281.156389
4/26/19,0.922377261,255.8473657,235.9877924
4/27/19,0.930930233,260.0704993,242.1074904
4/28/19,0.766718346,263.4696238,202.0069942
4/29/19,0.814134367,303.8920651,247.408974
4/30/19,0.952377261,332.2063653,316.3857883
5/1/19,0.930775194,346.8930486,322.8794445
5/2/19,0.911395349,319.8059974,291.4696986
5/3/19,0.879793282,294.5657218,259.1569431
5/4/19,0.924108527,289.6406512,267.6593955
5/5/19,0.755167959,263.5918544,199.0561226
5/6/19,0.887028424,321.8044754,285.4497166
5/7/19,0.974082687,359.0684704,349.7623806
5/8/19,0.896098191,358.5891115,321.3310542
5/9/19,0.9074677,307.3743384,278.932284
5/10/19,0.834366925,246.0844594,205.3247337
5/11/19,0.886847545,257.8275582,228.6537371
5/12/19,0.737364341,254.8438234,187.9127479
5/13/19,0.894702842,341.4249776,305.4738979
5/14/19,0.981395349,383.9269195,376.7840931
5/15/19,0.919741602,386.0760908,355.0902423
5/16/19,0.908656331,320.0275271,290.7950385
5/17/19,0.920232558,281.3274522,258.886681
5/18/19,0.962041344,293.1135576,281.9873608
5/19/19,0.905374677,274.9559149,248.9381226
5/20/19,0.909147287,342.1357504,311.0517892
5/21/19,0.939069767,371.4329721,348.8014748
5/22/19,0.960620155,344.134172,330.5822217
5/23/19,0.85374677,258.3448101,220.5610472
5/24/19,0.849095607,238.8014634,202.7652736
5/25/19,0.929457364,247.9921234,230.4981054
5/26/19,0.902093023,226.176415,204.032166
5/27/19,0.720645995,222.2767932,160.1828808
5/28/19,0.861369509,281.5881929,242.5514835
5/29/19,0.960155039,311.1795832,298.7806448
5/30/19,0.931834625,285.0504458,265.6198754
5/31/19,0.912222222,245.5103468,223.9599941
6/1/19,0.948656331,264.7440155,251.1510864
6/2/19,0.768656331,266.3933,204.7648965
6/3/19,0.869612403,350.4836342,304.7849154
6/4/19,0.970697674,373.0501166,362.1188806
6/5/19,0.920310078,357.7806246,329.2691143
6/6/19,0.878242894,295.0868729,259.1579493
6/7/19,0.912170543,248.2533324,226.449377
6/8/19,0.886692506,243.8957642,216.2605465
6/9/19,0.798527132,240.6246529,192.1453139
6/10/19,0.928475452,312.2960511,289.9592173
6/11/19,0.977054264,349.3262054,341.3106584
6/12/19,0.961369509,347.6080176,334.1797492
6/13/19,0.880129199,278.6025143,245.2062077
6/14/19,0.833049096,234.2661532,195.1552071
6/15/19,0.835064599,231.6334579,193.4289008
6/16/19,0.71124031,226.8238992,161.3263004
6/17/19,0.925348837,300.3208726,277.9015702
6/18/19,0.953281654,355.0018224,338.4167243
6/19/19,0.989173127,336.7365815,333.0907772
6/20/19,0.936485788,282.447182,264.5077718
6/21/19,0.949405685,253.8383889,240.9956094
6/22/19,0.95118863,265.2219572,252.2761103
6/23/19,0.933462532,251.1929618,234.4792183
6/24/19,0.922790698,310.0670465,286.1269862
6/25/19,0.962196382,330.2215121,317.7379444
6/26/19,0.993875969,329.8472358,327.8272411
6/27/19,0.927105943,275.6354001,255.5432176
6/28/19,0.860826873,261.5926404,225.1859747
6/29/19,0.932635659,259.4867402,242.0065869
6/30/19,0.912403101,219.8588938,200.5999364
7/1/19,0.784754522,205.7084707,161.4306526
7/2/19,0.781808786,198.270615,155.0097087
7/3/19,0.772222222,199.3947157,153.9770305
7/4/19,0.942325581,212.4955002,200.2399458
7/5/19,0.930103359,208.5574776,193.9800105
7/6/19,0.863953488,207.0810973,178.9084364
7/7/19,0.72754522,212.4646754,154.5776589
7/8/19,0.832325581,261.4475444,217.6094794
7/9/19,0.955736434,284.822177,272.2149318
7/10/19,0.974134367,298.3453685,290.6284767
7/11/19,0.949767442,267.7483685,254.298683
7/12/19,0.927183463,230.4475186,213.6671282
7/13/19,0.901627907,240.3421644,216.6992026
7/14/19,0.782403101,234.175304,183.219484
7/15/19,0.968346253,273.8709541,265.2019122
7/16/19,1.017390181,318.8406136,324.3853096
7/17/19,0.966873385,296.7538113,286.9233621
7/18/19,0.85501292,257.9609739,220.5599655
7/19/19,0.919043928,236.8057851,217.6349189
7/20/19,0.950981912,242.1413674,230.2720606
7/21/19,0.788940568,234.5581956,185.0524762
7/22/19,0.930129199,273.9034506,254.7655971
7/23/19,0.940465116,308.0133449,289.6758062
7/24/19,0.964599483,310.9585156,299.9504235
7/25/19,0.940206718,262.8912568,247.1721258
7/26/19,0.900671835,238.916978,215.1857929
7/27/19,0.888552972,235.5700722,209.3164877
7/28/19,0.800284238,227.3445074,181.9402258
7/29/19,0.888578811,252.8764875,224.7006887
7/30/19,0.97630491,280.0260953,273.3908517
7/31/19,0.932713178,268.0073535,249.9739905
8/1/19,0.865607235,259.4348463,224.56868
8/2/19,0.961808786,235.3959438,226.4058869
8/3/19,0.983229974,252.394492,248.1618299
8/4/19,0.906485788,227.8660348,206.5573221
8/5/19,0.913850129,271.4688098,248.0818069
8/6/19,0.960465116,300.3224404,288.4492277
8/7/19,0.924315245,290.3427451,268.3682257
8/8/19,0.895917313,241.08578,215.9929241
8/9/19,0.879819121,228.048363,200.6413104
8/10/19,0.932739018,249.9582229,233.1457874
8/11/19,0.864418605,227.0043438,196.2267781
8/12/19,0.962377261,264.4239414,254.4755884
8/13/19,0.948449612,279.102868,264.715007
8/14/19,0.880852713,267.3492206,235.4952864
8/15/19,0.905074396,234.5876871,212.3193091
8/16/19,0.911400083,220.7637247,201.204077
8/17/19,0.96061893,227.5903635,218.6276113
8/18/19,0.830452573,199.7253529,165.8624332
8/19/19,0.88760901,231.6665774,205.6293414
8/20/19,0.886150031,256.2433163,227.0700227
8/21/19,0.881787559,251.6792786,221.9276569
8/22/19,0.893324034,222.1698763,198.4696901
8/23/19,0.846543707,213.0117624,180.3237671
8/24/19,0.918362265,215.1985111,197.6301921
8/25/19,0.773391197,214.0760899,165.5645633
8/26/19,0.922694772,228.4171142,210.7592771
8/27/19,0.876973548,260.0662237,228.071199
8/28/19,0.866434181,240.2849372,208.1910827
8/29/19,0.894893573,223.2868264,199.8179459
8/30/19,1.004142385,234.1272119,235.0970569
8/31/19,1.02433974,271.5066497,278.1150508
